state,decade,burnt_area_km2,is_peak
NSW,1990,8876,False
NSW,2000,38598,False
NSW,2010,73874,True
NSW,2020,5008,False
QLD,1990,23008,False
QLD,2000,206189,False
QLD,2010,321953,True
QLD,2020,95997,False
SA,1990,17822,False
SA,2000,88074,False
SA,2010,208487,True
SA,2020,1023,False
TAS,1990,1535,False
TAS,2000,5489,False
TAS,2010,8282,True
TAS,2020,688,False
VIC,1990,13599,False
VIC,2000,143190,True
VIC,2010,59896,False
VIC,2020,11174,False
WA,1990,924918,False
WA,2000,1060252,False
WA,2010,2106097,True
WA,2020,531924,False
