state,year,burnt_area_km2
NSW,1990,2412
NSW,1991,874
NSW,1992,152
NSW,1993,221
NSW,1994,1974
NSW,1995,675
NSW,1996,495
NSW,1997,1356
NSW,1998,316
NSW,1999,401
NSW,2000,2074
NSW,2001,3298
NSW,2002,9931
NSW,2003,9906
NSW,2004,1015
NSW,2005,1032
NSW,2006,3121
NSW,2007,3625
NSW,2008,732
NSW,2009,3864
NSW,2010,928
NSW,2011,698
NSW,2012,2104
NSW,2013,6212
NSW,2014,1905
NSW,2015,1106
NSW,2016,2023
NSW,2017,2472
NSW,2018,2788
NSW,2019,53638
NSW,2020,3088
NSW,2021,430
NSW,2022,124
NSW,2023,1366
QLD,1990,1462
QLD,1991,1327
QLD,1992,2397
QLD,1993,561
QLD,1994,2089
QLD,1995,459
QLD,1996,1748
QLD,1997,969
QLD,1998,1460
QLD,1999,10536
QLD,2000,9087
QLD,2001,12696
QLD,2002,18514
QLD,2003,17724
QLD,2004,19996
QLD,2005,17680
QLD,2006,28460
QLD,2007,15888
QLD,2008,14005
QLD,2009,52139
QLD,2010,7942
QLD,2011,55112
QLD,2012,60521
QLD,2013,16234
QLD,2014,32593
QLD,2015,12671
QLD,2016,33244
QLD,2017,27908
QLD,2018,34820
QLD,2019,40908
QLD,2020,24851
QLD,2021,25196
QLD,2022,25917
QLD,2023,20033
SA,1990,1110
SA,1991,8766
SA,1992,772
SA,1993,7
SA,1994,102
SA,1995,1799
SA,1996,516
SA,1997,215
SA,1998,1294
SA,1999,3241
SA,2000,5569
SA,2001,840
SA,2002,39912
SA,2003,27193
SA,2004,1473
SA,2005,2328
SA,2006,3536
SA,2007,6401
SA,2008,582
SA,2009,240
SA,2010,414
SA,2011,46892
SA,2012,98292
SA,2013,1130
SA,2014,38964
SA,2015,5800
SA,2016,255
SA,2017,207
SA,2018,3236
SA,2019,13297
SA,2020,488
SA,2021,356
SA,2022,139
SA,2023,40
TAS,1990,71
TAS,1991,100
TAS,1992,44
TAS,1993,87
TAS,1994,505
TAS,1995,258
TAS,1996,95
TAS,1997,113
TAS,1998,209
TAS,1999,53
TAS,2000,311
TAS,2001,306
TAS,2002,109
TAS,2003,1699
TAS,2004,247
TAS,2005,145
TAS,2006,1220
TAS,2007,871
TAS,2008,422
TAS,2009,159
TAS,2010,329
TAS,2011,399
TAS,2012,393
TAS,2013,1108
TAS,2014,618
TAS,2015,376
TAS,2016,1759
TAS,2017,233
TAS,2018,765
TAS,2019,2302
TAS,2020,307
TAS,2021,272
TAS,2022,109
VIC,1990,1268
VIC,1991,1779
VIC,1992,1191
VIC,1993,802
VIC,1994,1615
VIC,1995,1185
VIC,1996,1247
VIC,1997,1479
VIC,1998,957
VIC,1999,2076
VIC,2000,537
VIC,2001,786
VIC,2002,14012
VIC,2003,54518
VIC,2004,1268
VIC,2005,1378
VIC,2006,45455
VIC,2007,1969
VIC,2008,1449
VIC,2009,21818
VIC,2010,1354
VIC,2011,1389
VIC,2012,1313
VIC,2013,4758
VIC,2014,13507
VIC,2015,1574
VIC,2016,714
VIC,2017,745
VIC,2018,775
VIC,2019,33767
VIC,2020,9850
VIC,2021,841
VIC,2022,481
VIC,2023,2
WA,1990,17152
WA,1991,6764
WA,1992,4658
WA,1993,9657
WA,1994,43758
WA,1995,492571
WA,1996,64881
WA,1997,59829
WA,1998,49440
WA,1999,176208
WA,2000,412009
WA,2001,96749
WA,2002,136427
WA,2003,103293
WA,2004,26281
WA,2005,66882
WA,2006,42184
WA,2007,62114
WA,2008,46826
WA,2009,67487
WA,2010,24138
WA,2011,410845
WA,2012,656818
WA,2013,142941
WA,2014,183136
WA,2015,99121
WA,2016,75315
WA,2017,242241
WA,2018,68982
WA,2019,202560
WA,2020,70199
WA,2021,196806
WA,2022,221924
WA,2023,42995
